2025-12-10 08:02:58,0,-1,train,4.6543,0.0588,235.8230
2025-12-10 08:03:21,0,-1,val,4.0835,0.1155,0.0000
2025-12-10 08:07:14,1,-1,train,3.8662,0.1424,232.8779
2025-12-10 08:07:37,1,-1,val,3.6635,0.1754,0.0000
2025-12-10 08:11:30,2,-1,train,3.4744,0.2049,233.1093
2025-12-10 08:11:53,2,-1,val,3.2095,0.2525,0.0000
2025-12-10 08:15:46,3,-1,train,3.2071,0.2514,233.1446
2025-12-10 08:16:09,3,-1,val,3.0180,0.2898,0.0000
2025-12-10 08:20:01,4,-1,train,2.9867,0.2904,232.2225
2025-12-10 08:20:24,4,-1,val,2.8032,0.3268,0.0000
2025-12-10 08:24:15,5,-1,train,2.8154,0.3273,231.4578
2025-12-10 08:24:38,5,-1,val,2.6371,0.3676,0.0000
2025-12-10 08:28:30,6,-1,train,2.6652,0.3565,232.0442
2025-12-10 08:28:53,6,-1,val,2.6438,0.3697,0.0000
2025-12-10 08:32:45,7,-1,train,2.5548,0.3804,232.0710
2025-12-10 08:33:08,7,-1,val,2.5314,0.3892,0.0000
2025-12-10 08:37:00,8,-1,train,2.4555,0.4008,232.1373
2025-12-10 08:37:23,8,-1,val,2.5219,0.3936,0.0000
2025-12-10 08:41:15,9,-1,train,2.3634,0.4202,232.0134
2025-12-10 08:41:38,9,-1,val,2.4157,0.4155,0.0000
2025-12-10 08:45:30,10,-1,train,2.2961,0.4356,231.9156
2025-12-10 08:45:52,10,-1,val,2.4034,0.4238,0.0000
2025-12-10 08:49:44,11,-1,train,2.2361,0.4462,231.2453
2025-12-10 08:50:06,11,-1,val,2.4815,0.4116,0.0000
2025-12-10 08:53:58,12,-1,train,2.1910,0.4588,231.1573
2025-12-10 08:54:20,12,-1,val,2.3141,0.4404,0.0000
2025-12-10 08:58:12,13,-1,train,2.1436,0.4674,231.3699
2025-12-10 08:58:35,13,-1,val,2.2762,0.4499,0.0000
2025-12-10 09:02:26,14,-1,train,2.0972,0.4766,231.0517
2025-12-10 09:02:48,14,-1,val,2.3533,0.4323,0.0000
2025-12-10 09:06:40,15,-1,train,2.0550,0.4870,231.1286
2025-12-10 09:07:02,15,-1,val,2.2185,0.4600,0.0000
2025-12-10 09:10:54,16,-1,train,2.0293,0.4937,231.1563
2025-12-10 09:11:16,16,-1,val,2.2716,0.4540,0.0000
2025-12-10 09:15:08,17,-1,train,1.9798,0.5032,231.3230
2025-12-10 09:15:30,17,-1,val,2.2267,0.4628,0.0000
2025-12-10 09:19:21,18,-1,train,1.9526,0.5091,231.1000
2025-12-10 09:19:44,18,-1,val,2.2037,0.4672,0.0000
2025-12-10 09:23:35,19,-1,train,1.9214,0.5178,231.2993
2025-12-10 09:23:58,19,-1,val,2.2187,0.4631,0.0000
2025-12-10 09:27:49,20,-1,train,1.8991,0.5223,231.2849
2025-12-10 09:28:12,20,-1,val,2.2287,0.4644,0.0000
2025-12-10 09:32:03,21,-1,train,1.8662,0.5280,231.3050
2025-12-10 09:32:26,21,-1,val,2.1926,0.4736,0.0000
2025-12-10 09:36:17,22,-1,train,1.8351,0.5372,230.9743
2025-12-10 09:36:40,22,-1,val,2.2031,0.4784,0.0000
2025-12-10 09:40:31,23,-1,train,1.8122,0.5428,231.1057
2025-12-10 09:40:54,23,-1,val,2.1213,0.4864,0.0000
2025-12-10 09:44:45,24,-1,train,1.7853,0.5477,230.9679
2025-12-10 09:45:07,24,-1,val,2.2741,0.4555,0.0000
2025-12-10 09:48:59,25,-1,train,1.7789,0.5507,231.3159
2025-12-10 09:49:21,25,-1,val,2.1812,0.4822,0.0000
2025-12-10 09:53:13,26,-1,train,1.7447,0.5576,231.2614
2025-12-10 09:53:35,26,-1,val,2.1095,0.4931,0.0000
2025-12-10 09:57:27,27,-1,train,1.7336,0.5595,231.2311
2025-12-10 09:57:49,27,-1,val,2.1445,0.4907,0.0000
2025-12-10 12:09:48,28,-1,train,1.7082,0.5652,7918.3191
2025-12-10 12:10:13,28,-1,val,2.2073,0.4770,0.0000
2025-12-10 12:14:06,29,-1,train,1.6946,0.5681,232.4366
2025-12-10 12:14:29,29,-1,val,2.0974,0.4970,0.0000
2025-12-10 12:18:22,30,-1,train,1.6644,0.5750,232.4490
2025-12-10 12:18:44,30,-1,val,2.0940,0.4963,0.0000
2025-12-10 12:22:42,31,-1,train,1.6546,0.5761,238.0975
2025-12-10 12:23:06,31,-1,val,2.2639,0.4716,0.0000
2025-12-10 12:27:17,32,-1,train,1.6444,0.5797,251.2146
2025-12-10 12:27:45,32,-1,val,2.2172,0.4759,0.0000
